Status,Exercise Display / Reference Name ,YouTube URL,Vimeo URL,Figure Icon ,Thumbnail,Coach,Assigned,Type,Tracking Fields,Per Side Info,Equipment,Muscle Groups,Tags / Target Areas,Description / Instructions,How To Perform 1,How To Perform 2,How To Perform 3,How To Perform 4
Complete,45 Degree Seated Bicep Curls ,,https://vimeo.com/manage/videos/413798400/77518b9cf2,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,None,Biceps,"Biceps, Strength, Arms, Conditioning, Upper Body",An isolation curl performed on an incline bench to increase the stretch on the biceps through a full range of motion.,"Sit on an incline bench set to roughly 45 degrees with a dumbbell in each hand, arms hanging straight down.","Curl the weights up by bending at the elbows, keeping your upper arms still against the bench.","Squeeze at the top, then lower slowly back to full extension. Control the descent.",
Complete,9090 Good Mornings ,,https://vimeo.com/765465617/086497c0fc,Completed,Completed,DANNY,,Mobility,Repetitions,None,None,"Hamstrings, Erector Spinae","Lower Body, Mobility, Hips, Glutes, Adductors, External Rotation","A hip hinge performed from the 9090 position, targeting the glutes and adductors while improving hip rotation mobility.","Sit on the floor in a 9090 position with both knees bent at 90 degrees. Front shin parallel, rear shin behind you.","Hinge forward over your front leg, keeping your chest proud and spine neutral.",Drive back up to the start position using your glutes and adductors. Keep the movement controlled.,
Complete,9090 Rear Leg Lift ,,https://vimeo.com/765465728/a1cc1b9161,Completed,Completed,DANNY,,Mobility,Repetitions,Per Side,None,"Hip Adductors, Gluteus Maximus","Lower Body, Mobility, Hips, Glutes, Adductors, Internal Rotation","A controlled leg lift from the 9090 position, building internal rotation strength and hip stability.",Sit in the 9090 position. Place your hands on the floor in front of you for support.,"Lift your rear knee off the ground by engaging the hip and glute, keeping the 90 degree angle at the knee.","Hold briefly at the top, then lower with control. Focus on internal rotation strength.",
Complete,9090 Rear Leg Lift Contrast ,,https://vimeo.com/765465685/41bb431c6c,Completed,Completed,DANNY,,Mobility,Repetitions,Per Side,None,"Hip Adductors, Gluteus Maximus","Lower Body, Mobility, Hips, Glutes, Adductors, Internal Rotation","A contrast variation of the 9090 rear leg lift, alternating between loaded and unloaded positions to build end-range control.",Start in the 9090 position with hands on the floor for support.,Lift the rear leg and hold at the top for 3-5 seconds under tension.,"Lower the leg, then immediately lift again without resting. The contrast between loaded and unloaded builds end-range control.",
Complete,9090 Rear Leg Lift with Abduction ,,https://vimeo.com/765465649/00ae9c65ca,Completed,Completed,DANNY,,Mobility,Repetitions,Per Side,None,"Hip Flexors, Gluteus Maximus, Hip Adductors","Lower Body, Mobility, Hips, Glutes, Adductors, Internal Rotation","A 9090 position drill targeting hip mobility, hips, glutes, adductors. Builds controlled range in internal and external rotation.",Set up in the starting position for 9090 Rear Leg Lift with Abduction. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,9090 Rear Leg Passive Range Hold ,,https://vimeo.com/765465759/8363a58152,Completed,Completed,DANNY,,Mobility,Duration,Per Side,None,"Hip Flexors, Gluteus Maximus, Hip Adductors","Lower Body, Mobility, Hips, Glutes, Adductors, Internal Rotation","A 9090 position drill targeting hip mobility, hips, glutes, adductors. Builds controlled range in internal and external rotation.",Set up in the starting position for 9090 Rear Leg Passive Range Hold. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,9090 Rear Leg Stretch ,,https://vimeo.com/765465793/579766d711,Completed,Completed,DANNY,,Stretching,Duration,Per Side,None,"Hip Flexors, Gluteus Maximus, Hip Adductors","Lower Body, Mobility, Hips, Glutes, Adductors, Internal Rotation","A 9090 position drill targeting hip mobility, hips, glutes, adductors. Builds controlled range in internal and external rotation.",Get into the starting position for 9090 Rear Leg Stretch. Ensure your body is properly aligned before beginning the stretch.,Move into the stretch slowly and with control. Breathe deeply and allow the muscles to release. Do not bounce or force the range.,Hold the end position for the prescribed duration. Release slowly and repeat on the other side if applicable.,
Complete,Active Hang ,,https://vimeo.com/767104246,Completed,Completed,DANNY,,Bodyweight,Duration,None,Pull Up Bar,"Deltoids, Latissimus Dorsi","Full Body, Strength, Mobility, Shoulders, Core","A dead hang with active shoulder engagement, decompressing the spine while building grip and shoulder stability.",Grip a pull up bar with both hands at shoulder width. Let your body hang with straight arms.,Engage your shoulders by pulling the shoulder blades down and slightly together. You should feel your lats activate.,Hold this active position. Avoid shrugging up towards your ears. Breathe steadily.,
Complete,Active Seal ,,https://vimeo.com/manage/videos/413778308/7b66c1e472,Completed,Completed,DANNY,,Stretching,Duration,None,None,"Erector Spinae, Abdominals","Full Body, Spine, Core, Back, Flexibility, extension, Mobility ","A prone extension hold with arms and legs lifted, strengthening the posterior chain and improving spinal extension endurance.",Lie face down on the floor with arms extended overhead and legs straight.,"Lift both arms and legs off the ground simultaneously, squeezing your glutes and upper back.","Hold the top position, keeping your neck neutral. Lower with control and repeat.",
Complete,Alternating Hammer Curls ,,https://vimeo.com/769848811,Completed,Completed,DANNY,,Strength,Repetitions with Weight,Per Side,None,"Biceps, Brachioradialis","Upper Body, Strength , Arms, Biceps ","A dumbbell curl with a neutral grip, targeting the biceps and brachioradialis while alternating arms.","Stand with a dumbbell in each hand, palms facing your body (neutral grip).",Curl one dumbbell up towards your shoulder while keeping the other arm still at your side.,Lower with control and repeat on the other side. Keep your elbows pinned and avoid swinging.,
